,player_name,total_points,position
292,Bruce Brown,321.1,SG
293,Sterling Brown,338.50000000000006,SG
293,Sterling Brown,338.50000000000006,SF
294,Khem Birch,434.19999999999993,PF
294,Khem Birch,434.19999999999993,C
295,Jordan McLaughlin,297.6,PG
296,Jordan Poole,314.9,PG
296,Jordan Poole,314.9,SG
297,Caleb Martin,252.60000000000002,SG
297,Caleb Martin,252.60000000000002,SF
298,Robert Williams,273.90000000000003,C
299,Omari Spellman,298.0,PF
300,Mike Scott,347.1999999999999,PG
301,Justin Jackson,339.9000000000001,SF
301,Justin Jackson,339.9000000000001,PF
302,Tyrese Maxey,287.09999999999997,SG
303,Isaac Bonga,283.8,SF
303,Isaac Bonga,283.8,PF
304,Shaquille Harrison,262.8,PG
304,Shaquille Harrison,262.8,SG
304,Shaquille Harrison,262.8,SF
305,Saddiq Bey,295.2,SF
306,Tony Bradley,309.79999999999995,C
307,Ky Bowman,235.8,PG
308,Kira Lewis,263.5,PG
309,Bismack Biyombo,415.0,C
310,Georges Niang,259.0,SF
310,Georges Niang,259.0,PF
311,Aaron Nesmith,279.0,SG
311,Aaron Nesmith,279.0,SF
312,Cheick Diallo,240.40000000000003,PF
312,Cheick Diallo,240.40000000000003,C
313,Ryan Arcidiacono,257.5,PG
314,Desmond Bane,245.5,PG
314,Desmond Bane,245.5,SG
315,Damyean Dotson,282.5,SG
316,Devin Vassell,231.39999999999995,SG
317,Jevon Carter,227.2,PG
318,Gary Clark,277.6,SF
318,Gary Clark,277.6,PF
319,Patrick McCaw,243.59999999999997,SG
319,Patrick McCaw,243.59999999999997,SF
320,Kenrich Williams,294.5,SF
320,Kenrich Williams,294.5,PF
321,Wayne Ellington,232.70000000000002,SG
321,Wayne Ellington,232.70000000000002,SF
322,Jake Layman,235.4,SF
322,Jake Layman,235.4,PF
323,Abdel Nader,219.20000000000005,SF
323,Abdel Nader,219.20000000000005,PF
324,David Nwaba,244.0,SG
324,David Nwaba,244.0,SF
325,Mario Hezonja,224.70000000000005,SF
325,Mario Hezonja,224.70000000000005,PF
326,Timothe Luwawu-Cabarrot,195.29999999999995,SG
326,Timothe Luwawu-Cabarrot,195.29999999999995,SF
327,Keita Bates-Diop,228.29999999999998,SF
327,Keita Bates-Diop,228.29999999999998,PF
328,Frank Jackson,223.49999999999997,PG
329,DeAndre' Bembry,193.70000000000005,SF
329,DeAndre' Bembry,193.70000000000005,PF
330,Dante Exum,185.80000000000004,SG
330,Dante Exum,185.80000000000004,SF
331,Bol Bol,151.00000000000003,PF
331,Bol Bol,151.00000000000003,C
332,Jalen Smith,208.39999999999995,PF
333,Denzel Valentine,178.80000000000004,SG
333,Denzel Valentine,178.80000000000004,SF
334,Rodney McGruder,237.5,SG
334,Rodney McGruder,237.5,SF
335,Theo Maledon,171.6,PG
336,Elie Okobo,203.6,PG
337,Dylan Windler,134.7,SF
338,Bruno Fernando,244.5,C
339,Drew Eubanks,170.2,PF
339,Drew Eubanks,170.2,C
340,Rodions Kurucs,175.50000000000003,PF
340,Rodions Kurucs,175.50000000000003,C
341,Brandon Goodwin,166.4,PG
342,Semi Ojeleye,196.99999999999994,SF
342,Semi Ojeleye,196.99999999999994,PF
343,Cameron Payne,163.89999999999998,PG
343,Cameron Payne,163.89999999999998,SG
344,Alfonzo McKinnie,164.4,SF
344,Alfonzo McKinnie,164.4,PF
345,Xavier Tillman,185.39999999999998,PF
346,Hamidou Diallo,210.79999999999998,SG
346,Hamidou Diallo,210.79999999999998,SF
347,Mike Muscala,166.8,PF
347,Mike Muscala,166.8,C
348,Willy Hernangomez,229.49999999999997,C
349,Dwayne Bacon,199.60000000000002,SG
350,Luke Kornet,147.60000000000002,C
351,Chandler Hutchison,195.89999999999998,SF
351,Chandler Hutchison,195.89999999999998,PF
352,Quinn Cook,139.2,PG
353,Chris Chiozza,120.89999999999999,PG
354,Jerome Robinson,160.00000000000003,PG
354,Jerome Robinson,160.00000000000003,SG
355,Tony Snell,128.5,SG
355,Tony Snell,128.5,SF
356,Michael Kidd-Gilchrist,173.6,SF
356,Michael Kidd-Gilchrist,173.6,PF
357,Nicolas Claxton,194.80000000000004,C
358,Cristiano Felicio,150.0,C
359,Jalen McDaniels,136.39999999999998,PF
359,Jalen McDaniels,136.39999999999998,C
360,Isaiah Stewart,144.6,PF
360,Isaiah Stewart,144.6,C
